party_type,party_name,contract_terms,status,start_date,end_date,is_signed,fulfilment_status,requires_fulfilment,document_type,document_name,signee,signed_on,signed_by_company
Customer,Petrichor Bioinstruments,Contract: % of managed spend (12%). Renewed 04/20/2025; ongoing under Thornfield rate card.,Expired,2023-04-20,2025-04-19,1,N/A,0,,,,2023-04-20,"Thornfield Life Sciences Marketing, Inc."
Customer,Stellwood Reagents,"Contract: Flat monthly retainer $6,500. Renewed 06/15/2025 under 24-month SOP.",Expired,2023-06-15,2025-06-14,1,N/A,0,,,,2023-06-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Norvell Bioscience,Contract: % of managed spend (12%). Renewed 08/01/2024; ongoing under Thornfield rate card.,Expired,2022-08-01,2024-07-31,1,N/A,0,,,,2022-08-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Bellhaven Molecular,"Contract: Flat monthly retainer $8,400. Renewed 10/10/2025 under 24-month SOP.",Expired,2023-10-10,2025-10-09,1,N/A,0,,,,2023-10-10,"Thornfield Life Sciences Marketing, Inc."
Customer,Thistlefield Biotech,Contract: % of managed spend (12%). Renewed 12/01/2024; ongoing under Thornfield rate card.,Expired,2022-12-01,2024-11-30,1,N/A,0,,,,2022-12-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Larkfield Diagnostics,"Contract: Flat monthly retainer $11,750. Regulated-client flag set.",Active,2024-02-20,2026-02-19,1,N/A,0,,,,2024-02-20,"Thornfield Life Sciences Marketing, Inc."
Customer,Brackenhill Instruments,Contract: % of managed spend (12%). Renewed 05/05/2025; ongoing under Thornfield rate card.,Expired,2023-05-05,2025-05-04,1,N/A,0,,,,2023-05-05,"Thornfield Life Sciences Marketing, Inc."
Customer,Ashcombe Analytical,"Contract: Flat monthly retainer $9,000. Renewed 07/15/2025 under 24-month SOP.",Expired,2023-07-15,2025-07-14,1,N/A,0,,,,2023-07-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Copperfield Genomics,Contract: % of managed spend (12%). Renewed 09/20/2024; ongoing under Thornfield rate card.,Expired,2022-09-20,2024-09-19,1,N/A,0,,,,2022-09-20,"Thornfield Life Sciences Marketing, Inc."
Customer,Willowmere BioAnalytics,"Contract: Flat monthly retainer $7,200. Renewed 11/01/2025 under 24-month SOP.",Expired,2023-11-01,2025-10-31,1,N/A,0,,,,2023-11-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Denholm Reagents,Contract: % of managed spend (12%). Renewed 01/25/2025; ongoing under Thornfield rate card.,Expired,2023-01-25,2025-01-24,1,N/A,0,,,,2023-01-25,"Thornfield Life Sciences Marketing, Inc."
Customer,Ravenscroft Bioscience,"Contract: Flat monthly retainer $8,900. Ongoing.",Active,2024-03-10,2026-03-09,1,N/A,0,,,,2024-03-10,"Thornfield Life Sciences Marketing, Inc."
Customer,Thornbury Molecular,Contract: % of managed spend (12%). Renewed 04/01/2025; ongoing under Thornfield rate card.,Expired,2023-04-01,2025-03-31,1,N/A,0,,,,2023-04-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Ellingham Diagnostics,"Contract: Flat monthly retainer $10,800. Renewed 06/20/2025 under 24-month SOP; regulated-client flag set.",Expired,2023-06-20,2025-06-19,1,N/A,0,,,,2023-06-20,"Thornfield Life Sciences Marketing, Inc."
Customer,Farthingale Instruments,Contract: % of managed spend (12%). Renewed 08/15/2024; ongoing under Thornfield rate card.,Expired,2022-08-15,2024-08-14,1,N/A,0,,,,2022-08-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Marchbank Bioinstruments,"Contract: Flat monthly retainer $7,650. Renewed 10/01/2025 under 24-month SOP.",Expired,2023-10-01,2025-09-30,1,N/A,0,,,,2023-10-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Sturbridge Analytical,Contract: % of managed spend (12%). Renewed 12/12/2024; ongoing under Thornfield rate card.,Expired,2022-12-12,2024-12-11,1,N/A,0,,,,2022-12-12,"Thornfield Life Sciences Marketing, Inc."
Customer,Wentworth BioLabs,"Contract: Flat monthly retainer $9,300. Ongoing.",Active,2024-02-01,2026-01-31,1,N/A,0,,,,2024-02-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Peverell Molecular,Contract: % of managed spend (12%). Renewed 03/25/2025; ongoing under Thornfield rate card.,Expired,2023-03-25,2025-03-24,1,N/A,0,,,,2023-03-25,"Thornfield Life Sciences Marketing, Inc."
Customer,Halstead Bioscience,"Contract: Flat monthly retainer $8,150. Renewed 05/18/2025 under 24-month SOP.",Expired,2023-05-18,2025-05-17,1,N/A,0,,,,2023-05-18,"Thornfield Life Sciences Marketing, Inc."
Customer,Kenmore Diagnostics,Contract: % of managed spend (12%). Renewed 07/10/2024; ongoing under Thornfield rate card; regulated-client flag set.,Expired,2022-07-10,2024-07-09,1,N/A,0,,,,2022-07-10,"Thornfield Life Sciences Marketing, Inc."
Customer,Rothwell Biotech,"Contract: Flat monthly retainer $12,000. Renewed 09/05/2025 under 24-month SOP.",Expired,2023-09-05,2025-09-04,1,N/A,0,,,,2023-09-05,"Thornfield Life Sciences Marketing, Inc."
Customer,Blackwood Reagents,Contract: % of managed spend (12%). Renewed 11/22/2024; ongoing under Thornfield rate card.,Expired,2022-11-22,2024-11-21,1,N/A,0,,,,2022-11-22,"Thornfield Life Sciences Marketing, Inc."
Customer,Fernhurst Instruments,"Contract: Flat monthly retainer $6,900. Ongoing.",Expired,2024-01-08,2026-01-07,1,N/A,0,,,,2024-01-08,"Thornfield Life Sciences Marketing, Inc."
Customer,Aldringham Genomics,Contract: % of managed spend (12%). Renewed 02/28/2025; ongoing under Thornfield rate card.,Expired,2023-02-28,2025-02-27,1,N/A,0,,,,2023-02-28,"Thornfield Life Sciences Marketing, Inc."
Customer,Cranleigh Bioinstruments,"Contract: Flat monthly retainer $8,600. Renewed 04/12/2025 under 24-month SOP.",Expired,2023-04-12,2025-04-11,1,N/A,0,,,,2023-04-12,"Thornfield Life Sciences Marketing, Inc."
Customer,Highgrove Analytical,Contract: % of managed spend (12%). Renewed 06/05/2024; ongoing under Thornfield rate card.,Expired,2022-06-05,2024-06-04,1,N/A,0,,,,2022-06-05,"Thornfield Life Sciences Marketing, Inc."
Customer,Merristone Molecular,"Contract: Flat monthly retainer $10,400. Renewed 08/20/2025 under 24-month SOP.",Expired,2023-08-20,2025-08-19,1,N/A,0,,,,2023-08-20,"Thornfield Life Sciences Marketing, Inc."
Customer,Prendergast Bioscience,Contract: % of managed spend (12%). Renewed 10/15/2024; ongoing under Thornfield rate card.,Expired,2022-10-15,2024-10-14,1,N/A,0,,,,2022-10-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Southwold Diagnostics,"Contract: Flat monthly retainer $11,300. Renewed 12/01/2025 under 24-month SOP; regulated-client flag set.",Expired,2023-12-01,2025-11-30,1,N/A,0,,,,2023-12-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Ashmere BioLabs,Contract: % of managed spend (12%). Renewed 01/30/2025; ongoing under Thornfield rate card.,Expired,2023-01-30,2025-01-29,1,N/A,0,,,,2023-01-30,"Thornfield Life Sciences Marketing, Inc."
Customer,Belvoir Instruments,"Contract: Flat monthly retainer $7,400. Ongoing.",Active,2024-03-20,2026-03-19,1,N/A,0,,,,2024-03-20,"Thornfield Life Sciences Marketing, Inc."
Customer,Chetwynd Genomics,Contract: % of managed spend (12%). Renewed 05/25/2025; ongoing under Thornfield rate card.,Expired,2023-05-25,2025-05-24,1,N/A,0,,,,2023-05-25,"Thornfield Life Sciences Marketing, Inc."
Customer,Draymore Bioinstruments,"Contract: Flat monthly retainer $9,750. Renewed 07/28/2025 under 24-month SOP.",Expired,2023-07-28,2025-07-27,1,N/A,0,,,,2023-07-28,"Thornfield Life Sciences Marketing, Inc."
Customer,Escombe Reagents,Contract: % of managed spend (12%). Renewed 09/12/2024; ongoing under Thornfield rate card.,Expired,2022-09-12,2024-09-11,1,N/A,0,,,,2022-09-12,"Thornfield Life Sciences Marketing, Inc."
Customer,Fenchurch Molecular,"Contract: Flat monthly retainer $8,050. Renewed 11/08/2025 under 24-month SOP.",Expired,2023-11-08,2025-11-07,1,N/A,0,,,,2023-11-08,"Thornfield Life Sciences Marketing, Inc."
Customer,Gorseland Bioanalytical,Contract: % of managed spend (12%). Renewed 12/18/2024; ongoing under Thornfield rate card.,Expired,2022-12-18,2024-12-17,1,N/A,0,,,,2022-12-18,"Thornfield Life Sciences Marketing, Inc."
Customer,Hazelmere Diagnostics,"Contract: Flat monthly retainer $10,650. Ongoing; regulated-client flag set.",Active,2024-02-14,2026-02-13,1,N/A,0,,,,2024-02-14,"Thornfield Life Sciences Marketing, Inc."
Customer,Redcliff Bioinstruments,Contract: % of managed spend (12%). Renewed 03/12/2023; ongoing under Thornfield standard billing.,Active,2023-03-12,2026-03-11,1,N/A,0,,,,2023-03-12,"Thornfield Life Sciences Marketing, Inc."
Customer,Cavendish Life Sciences,"Contract: Flat monthly retainer $6,750. Renewed 07/01/2024 under 24-month SOP.",Active,2024-07-01,2026-06-30,1,N/A,0,,,,2024-07-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Kelbourne Diagnostics Reagents,Contract: % of managed spend (legacy schedule). Renewed 09/14/2025 at prior legacy-accounts rate; new term active; regulated-client flag set.,Expired,2023-09-15,2025-09-14,1,N/A,0,,,,2023-09-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Millbrook Assay Systems,"Contract: Flat monthly retainer $9,200. Bramwell-era SOW attached in ERPNext; MSA in force through original expiry.",Active,2024-05-20,2026-05-19,1,N/A,0,,,,2024-05-20,"Thornfield Life Sciences Marketing, Inc."
Customer,Cornhill Diagnostics,Contract: % of managed spend (12%). Ongoing under Thornfield standard billing; renewal cycle Q1 2026.,Active,2024-02-01,2026-01-31,1,N/A,0,,,,2024-02-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Ridgemont Laboratories,"Contract: Flat monthly retainer $7,500. Renewed 10/09/2025; onboarded to Thornfield reporting cadence.",Expired,2023-10-10,2025-10-09,1,N/A,0,,,,2023-10-10,"Thornfield Life Sciences Marketing, Inc."
Customer,Harewood Genomic Sciences,"Contract: Flat monthly retainer $8,000. Renewed 08/01/2024; ongoing under Thornfield standard billing.",Active,2024-08-01,2026-07-31,1,N/A,0,,,,2024-08-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Prescott Biosystems,Contract: % of managed spend (legacy schedule). Renewed 11/14/2025 at prior legacy-accounts rate.,Expired,2023-11-15,2025-11-14,1,N/A,0,,,,2023-11-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Sedgewick Life Sciences,"Contract: Flat monthly retainer $10,500. Regulated-client scope confirmed with Compliance; MSA in force through original expiry.",Active,2024-06-01,2026-05-31,1,N/A,0,,,,2024-06-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Trenton Assay Solutions,Contract: % of managed spend (legacy schedule). Ongoing under Thornfield standard billing.,Active,2024-04-15,2026-04-14,1,N/A,0,,,,2024-04-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Coleridge Biotech Marketing,"Contract: Flat monthly retainer $6,000. Renewal cycle Q1 2026; MSA in force through original expiry.",Expired,2024-01-12,2026-01-11,1,N/A,0,,,,2024-01-12,"Thornfield Life Sciences Marketing, Inc."
Customer,Ashford Scientific Instruments,Contract: % of managed spend (legacy schedule). Ongoing under Thornfield standard billing; primary contact Priyanka Shah (VP Marketing).,Active,2024-06-15,2026-06-15,1,N/A,0,Sales Order,SO-2024-0212,,2024-06-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Ingleton Diagnostics,"Contract: Flat monthly retainer $9,000. Renewed 08/31/2025 at prior legacy-accounts rate; regulated-client flag set.",Expired,2023-09-01,2025-08-31,1,N/A,0,,,,2023-09-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Northlake Bioinstruments,Contract: % of managed spend (legacy schedule). Renewed 12/05/2025 under the legacy-accounts renewal-rate schedule in effect at that date.,Active,2025-12-05,2026-12-05,1,N/A,0,Sales Order,SO-2025-0389,,2025-12-05,"Thornfield Life Sciences Marketing, Inc."
Customer,Larchfield Bioanalytics,"Contract: Flat monthly retainer $7,250. Renewal cycle Q1 2026; MSA in force through original expiry.",Active,2024-02-15,2026-02-14,1,N/A,0,Sales Order,SO-2024-0296,,2024-02-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Oakhurst Reagent Group,Contract: % of managed spend (legacy schedule). Ongoing under Thornfield standard billing.,Active,2024-05-01,2026-04-30,1,N/A,0,,,,2024-05-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Ramsden Bioanalytics,"Contract: Flat monthly retainer $11,000. Regulated-client flag set; MSA in force through original expiry.",Active,2024-07-15,2026-07-14,1,N/A,0,,,,2024-07-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Ferndown Bioscience,Contract: % of managed spend (legacy schedule). Renewed 10/31/2025 at prior legacy-accounts rate.,Expired,2023-11-01,2025-10-31,1,N/A,0,,,,2023-11-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Marchmont Analytical Systems,"Contract: Flat monthly retainer $8,750. Onboarded to Thornfield reporting cadence; MSA in force through original expiry.",Active,2024-08-15,2026-08-14,1,N/A,0,,,,2024-08-15,"Thornfield Life Sciences Marketing, Inc."
