parent,opportunity,amount,stage,probability,expected_closing
Radial Biosystems,CRM-OPP-2025-00351,132000.0,Proposal/Price Quote,60,2026-03-31
Ashcroft Assays,CRM-OPP-2025-00352,36500.0,Needs Analysis,20,2026-03-31
Bellwether Reagents,CRM-OPP-2025-00353,52500.0,Qualification,40,2026-03-31
Silverpine Therapeutics,CRM-OPP-2025-00354,158000.0,Proposal/Price Quote,60,2026-03-31
Windrow Scientific,CRM-OPP-2025-00355,29500.0,Needs Analysis,20,2026-03-31
Kestrel Diagnostics,CRM-OPP-2025-00356,74000.0,Qualification,40,2026-03-31
Northgate BioLabs,CRM-OPP-2025-00357,61500.0,Needs Analysis,20,2026-03-31
Ashvale Molecular,CRM-OPP-2025-00358,103000.0,Proposal/Price Quote,60,2026-03-31
Chartwell Instruments,CRM-OPP-2025-00359,45500.0,Needs Analysis,20,2026-03-31
Elmwood BioScience,CRM-OPP-2025-00360,37000.0,Qualification,40,2026-03-31
Harborlight Bio,CRM-OPP-2025-00361,58000.0,Needs Analysis,20,2026-03-31
Isley Reagents,CRM-OPP-2025-00362,30500.0,Qualification,40,2026-03-31
Jerbrook Diagnostics,CRM-OPP-2025-00363,49000.0,Needs Analysis,20,2026-03-31
Ledbury Assays,CRM-OPP-2025-00364,44500.0,Needs Analysis,20,2026-03-31
Merit BioScience,CRM-OPP-2025-00365,127000.0,Proposal/Price Quote,60,2026-03-31
Newbury Instruments,CRM-OPP-2025-00366,35000.0,Needs Analysis,20,2026-03-31
Pemberton Diagnostics,CRM-OPP-2025-00367,69000.0,Qualification,40,2026-03-31
Quenton BioLabs,CRM-OPP-2025-00368,41500.0,Needs Analysis,20,2026-03-31
Trellis Molecular,CRM-OPP-2025-00369,47000.0,Needs Analysis,20,2026-03-31
Underhill Bio,CRM-OPP-2025-00370,33500.0,Qualification,40,2026-03-31
Whitfield Diagnostics,CRM-OPP-2025-00371,141000.0,Proposal/Price Quote,60,2026-03-31
Xanthe Instruments,CRM-OPP-2025-00372,54000.0,Needs Analysis,20,2026-03-31
Zephyr Genomics,CRM-OPP-2025-00373,82500.0,Qualification,40,2026-03-31
Alderman Diagnostics,CRM-OPP-2025-00374,38500.0,Needs Analysis,20,2026-03-31
Colvin Reagents,CRM-OPP-2025-00375,50500.0,Needs Analysis,20,2026-03-31
Fairhaven Analytical,CRM-OPP-2025-00376,32000.0,Needs Analysis,20,2026-03-31
Halewood Diagnostics,CRM-OPP-2025-00377,46000.0,Qualification,40,2026-03-31
Junction Reagents,CRM-OPP-2025-00378,28000.0,Needs Analysis,20,2026-03-31
Keswick Genomics,CRM-OPP-2025-00379,79000.0,Needs Analysis,20,2026-03-31
Marston Bio,CRM-OPP-2025-00380,56000.0,Qualification,40,2026-03-31
Oakenwood Diagnostics,CRM-OPP-2025-00381,42000.0,Needs Analysis,20,2026-03-31
Quaywater BioLabs,CRM-OPP-2025-00382,95500.0,Proposal/Price Quote,60,2026-03-31
Rowton Reagents,CRM-OPP-2025-00383,36000.0,Needs Analysis,20,2026-03-31
Tavistock Assays,CRM-OPP-2025-00384,63500.0,Qualification,40,2026-03-31
Vallon Instruments,CRM-OPP-2025-00385,48000.0,Needs Analysis,20,2026-03-31
Yardsley Analytical,CRM-OPP-2025-00386,134500.0,Proposal/Price Quote,60,2026-03-31
Bramford Scientific,CRM-OPP-2025-00387,31000.0,Needs Analysis,20,2026-03-31
Everglade Diagnostics,CRM-OPP-2025-00388,52000.0,Qualification,40,2026-03-31
Highfield Instruments,CRM-OPP-2025-00389,57500.0,Needs Analysis,20,2026-03-31
Hallmark Molecular,CRM-OPP-2025-00390,107000.0,Proposal/Price Quote,60,2026-03-31
Coastwise Reagents,CRM-OPP-2025-00391,38000.0,Qualification,40,2026-03-31
Kadence Diagnostics,CRM-OPP-2025-00392,44500.0,Needs Analysis,20,2026-03-31
Willowmere Diagnostics,CRM-OPP-2025-00393,128000.0,Proposal/Price Quote,60,2026-03-31
Selby Instruments,CRM-OPP-2025-00394,50000.0,Needs Analysis,20,2026-03-31
Caldwell Diagnostics,CRM-OPP-2025-00395,65000.0,Needs Analysis,20,2026-03-31
Argent Molecular,CRM-OPP-2025-00396,26000.0,Qualification,40,2026-03-31
Beacon Assay Systems,CRM-OPP-2025-00397,55500.0,Needs Analysis,20,2026-03-31
Delaney BioScience,CRM-OPP-2025-00398,67000.0,Qualification,40,2026-03-31
Enfield Reagents,CRM-OPP-2025-00399,34000.0,Needs Analysis,20,2026-03-31
Radial Biosystems,CRM-OPP-2025-00400,46500.0,Needs Analysis,20,2026-03-31
Larkspur Bio,CRM-OPP-2025-00401,72000.0,Qualification,40,2026-03-31
Bellwether Reagents,CRM-OPP-2025-00402,115000.0,Proposal/Price Quote,60,2026-03-31
Halcyon Analytical,CRM-OPP-2025-00403,40500.0,Needs Analysis,20,2026-03-31
Meadowbrook Genomics,CRM-OPP-2025-00404,61000.0,Qualification,40,2026-03-31
Windrow Scientific,CRM-OPP-2025-00405,99000.0,Proposal/Price Quote,60,2026-03-31
Norwich Bioinstruments,CRM-OPP-2025-00406,47000.0,Needs Analysis,20,2026-03-31
Sedgwick Reagents,CRM-OPP-2025-00407,145000.0,Proposal/Price Quote,60,2026-03-31
Ashvale Molecular,CRM-OPP-2025-00408,43500.0,Needs Analysis,20,2026-03-31
Draycott Genomics,CRM-OPP-2025-00409,53000.0,Qualification,40,2026-03-31
Elmwood BioScience,CRM-OPP-2025-00410,58000.0,Needs Analysis,20,2026-03-31
Harborlight Bio,CRM-OPP-2025-00411,37500.0,Needs Analysis,20,2026-03-31
Isley Reagents,CRM-OPP-2025-00412,49500.0,Qualification,40,2026-03-31
Kilburn Molecular,CRM-OPP-2025-00413,88000.0,Proposal/Price Quote,60,2026-03-31
Ledbury Assays,CRM-OPP-2025-00414,60000.0,Needs Analysis,20,2026-03-31
Merit BioScience,CRM-OPP-2025-00415,32500.0,Qualification,40,2026-03-31
Orleans Genomics,CRM-OPP-2025-00416,54500.0,Needs Analysis,20,2026-03-31
Pemberton Diagnostics,CRM-OPP-2025-00417,112000.0,Proposal/Price Quote,60,2026-03-31
Ramsey Analytical,CRM-OPP-2025-00418,39000.0,Needs Analysis,20,2026-03-31
Sutherland Reagents,CRM-OPP-2025-00419,45500.0,Qualification,40,2026-03-31
Underhill Bio,CRM-OPP-2025-00420,101500.0,Proposal/Price Quote,60,2026-03-31
Verona Assays,CRM-OPP-2025-00421,48500.0,Needs Analysis,20,2026-03-31
Yorktown Bioscience,CRM-OPP-2025-00422,29000.0,Needs Analysis,20,2026-03-31
Zephyr Genomics,CRM-OPP-2025-00423,41000.0,Qualification,40,2026-03-31
Bosworth BioScience,CRM-OPP-2025-00424,93000.0,Proposal/Price Quote,60,2026-03-31
Colvin Reagents,CRM-OPP-2025-00425,66500.0,Needs Analysis,20,2026-03-31
Deerfield Molecular,CRM-OPP-2025-00426,59500.0,Qualification,40,2026-03-31
Fairhaven Analytical,CRM-OPP-2025-00427,155500.0,Proposal/Price Quote,60,2026-03-31
Glenridge BioLabs,CRM-OPP-2025-00428,42500.0,Needs Analysis,20,2026-03-31
Halewood Diagnostics,CRM-OPP-2025-00429,55000.0,Qualification,40,2026-03-31
Ivywood Assays,CRM-OPP-2025-00430,36500.0,Needs Analysis,20,2026-03-31
