# Marketing attribution dashboard — Q4 2025. Attribution basis (touch-timing). Not directly comparable to Finance billing figures. See attribution_nov_dec_comparison.csv for prior-month variance trend.
ERPNext_Customer_ID,Client_Name,Attribution_Q4_Revenue_USD,Attribution_Method,First_Touch_Date,Notes
CUST-2025-0174,Ellersby Bioinstruments,101200,Time-decay,2025-10-13,Bioinstrumentation; touch-timing basis.
CUST-2025-0181,Ramsden Bioanalytics,240726,Position-based,2025-10-16,"Attribution timing basis; touch-timing snapshot 2.5% below the managed-spend register, within the normal 1–3% band."
CUST-2025-0187,Trentham Diagnostics,65245,Multi-touch weighted,2025-10-27,"Attribution timing basis; touch-timing snapshot 2.6% below the managed-spend register, within the normal 1–3% band."
CUST-2025-0193,Vantage Bioinstruments,117496,Last-touch,2025-10-10,"Attribution timing basis; touch-timing snapshot 2.2% above the managed-spend register, within the normal 1–3% band."
CUST-2025-0206,Marchmont Analytical Systems,45096,Multi-touch weighted,2025-10-18,"Attribution timing basis; touch-timing snapshot 3.0% above the billing register, within the normal 1–3% band."
CUST-2025-0213,Coppergate Diagnostics,294365,Time-decay,2025-10-05,"Attribution timing basis; touch-timing snapshot 2.2% above the managed-spend register, within the normal 1–3% band."
CUST-2025-0219,Everleigh Bioinstruments,132572,First-touch,2025-11-14,"Attribution timing basis; touch-timing snapshot 1.2% above the managed-spend register, within the normal 1–3% band."
CUST-2025-0225,Glenmore Diagnostics,146745,Multi-touch weighted,2025-10-02,"Attribution timing basis; touch-timing snapshot 2.2% below the managed-spend register, within the normal 1–3% band."
CUST-2025-0231,Ivybridge Reagent Labs,42025,Linear,2025-11-08,"Attribution timing basis; touch-timing snapshot 2.5% above the managed-spend register, within the normal 1–3% band."
CUST-2025-0238,Norwood Reagents,89400,Position-based,2025-10-21,Reagents distribution; timing basis.
CUST-2025-0244,Aster Diagnostics,105800,Multi-touch weighted,2025-10-09,Regulated; touch-timing snapshot.
CUST-2025-0251,Ridgemere Assays,76200,Time-decay,2025-10-12,Bioinstrumentation vertical; variance in band.
CUST-2025-0257,Beckley Molecular,124600,Multi-touch weighted,2025-10-06,Molecular tools; attribution timing basis.
CUST-2025-0263,Sedgewick Genomics,60300,First-touch,2025-11-06,Emerging biotech; single-quarter attribution.
CUST-2025-0269,Ellisford Biosystems,152100,Multi-touch weighted,2025-10-04,Timing snapshot; variance ~2.3% vs billing register.
CUST-2025-0275,Rowe Analytics,47800,Linear,2025-11-17,Analytics-services vertical; light history.
CUST-2025-0282,Woodmere Cellular,98400,Position-based,2025-10-24,Cell-therapy adjacent; touch-timing basis.
